JobIDRaw|JobName|State|ExitCode|ElapsedRaw|ReqTRES|AllocTRES|NodeList|Start|End
3171272|biosfm-w3c-b2-boltz|COMPLETED|0:0|226|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171272.batch|batch|COMPLETED|0:0|226||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171272.extern|extern|COMPLETED|0:0|226||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171273|biosfm-w3c-b2-af2|FAILED|1:0|26|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171273.batch|batch|FAILED|1:0|26||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171273.extern|extern|COMPLETED|0:0|26||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171274|biosfm-w3c-b2-boltz|COMPLETED|0:0|226|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171274.batch|batch|COMPLETED|0:0|226||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171274.extern|extern|COMPLETED|0:0|226||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171275|biosfm-w3c-b2-af2|FAILED|1:0|26|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171275.batch|batch|FAILED|1:0|26||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171275.extern|extern|COMPLETED|0:0|26||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171276|biosfm-w3c-b2-boltz|COMPLETED|0:0|226|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171276.batch|batch|COMPLETED|0:0|226||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171276.extern|extern|COMPLETED|0:0|226||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171277|biosfm-w3c-b2-af2|FAILED|1:0|26|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171277.batch|batch|FAILED|1:0|26||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171277.extern|extern|COMPLETED|0:0|26||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171278|biosfm-w3c-b2-boltz|COMPLETED|0:0|226|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171278.batch|batch|COMPLETED|0:0|226||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171278.extern|extern|COMPLETED|0:0|226||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:46:42|2026-08-02T12:50:28
3171279|biosfm-w3c-b2-af2|FAILED|1:0|26|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171279.batch|batch|FAILED|1:0|26||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171279.extern|extern|COMPLETED|0:0|26||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:45:58|2026-08-02T12:46:24
3171280|biosfm-w3c-b2-boltz|COMPLETED|0:0|72|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171280.batch|batch|COMPLETED|0:0|72||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171280.extern|extern|COMPLETED|0:0|72||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171281|biosfm-w3c-b2-af2|FAILED|1:0|15|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171281.batch|batch|FAILED|1:0|15||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171281.extern|extern|COMPLETED|0:0|15||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171282|biosfm-w3c-b2-boltz|COMPLETED|0:0|71|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:40
