JobIDRaw|JobName|State|ExitCode|ElapsedRaw|ReqTRES|AllocTRES|NodeList|Start|End
3171282.batch|batch|COMPLETED|0:0|71||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:40
3171282.extern|extern|COMPLETED|0:0|71||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:40
3171283|biosfm-w3c-b2-af2|FAILED|1:0|15|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171283.batch|batch|FAILED|1:0|15||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171283.extern|extern|COMPLETED|0:0|15||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171284|biosfm-w3c-b2-boltz|COMPLETED|0:0|73|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:42
3171284.batch|batch|COMPLETED|0:0|73||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:42
3171284.extern|extern|COMPLETED|0:0|73||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:42
3171285|biosfm-w3c-b2-af2|FAILED|1:0|15|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171285.batch|batch|FAILED|1:0|15||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171285.extern|extern|COMPLETED|0:0|15||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:40
3171286|biosfm-w3c-b2-boltz|COMPLETED|0:0|72|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171286.batch|batch|COMPLETED|0:0|72||cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171286.extern|extern|COMPLETED|0:0|72||billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|g0004|2026-08-02T12:50:29|2026-08-02T12:51:41
3171287|biosfm-w3c-b2-af2|FAILED|1:0|16|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:41
3171287.batch|batch|FAILED|1:0|16||cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:41
3171287.extern|extern|COMPLETED|0:0|16||billing=8,cpu=8,gres/gpu=1,mem=128G,node=1|g0004|2026-08-02T12:46:25|2026-08-02T12:46:41
